company_name,industry,employee_count,annual_revenue_millions_usd,description,is_good_lead
Clark LLC Group,Cloud Computing,166,44,A Cloud Computing company focused on morph back-end initiatives,1
"Jones, Brown and Gonzalez Solutions",Construction,8,1,A Construction company focused on syndicate back-end e-services,0
Hernandez and Sons Solutions,PropTech,400,171,A PropTech company focused on harness vertical e-markets,1
"Knight, Willis and Valentine Inc.",HR Tech,5,2,A HR Tech company focused on transform impactful channels,0
"Booth, Garcia and Williams Inc.",Cybersecurity,383,171,A Cybersecurity company focused on enhance world-class info-mediaries,1
"Pratt, Daniel and Meyers Group",Travel & Tourism,907,38,A Travel & Tourism company focused on drive intuitive niches,0
Collins and Sons Inc.,Insurance,771,167,A Insurance company focused on envisioneer cross-media functionalities,1
Reed Inc LLC,Construction,659,135,A Construction company focused on iterate bleeding-edge bandwidth,1
Jones Group LLC,HR Tech,325,10,A HR Tech company focused on revolutionize extensible networks,1
"Winters, Gonzalez and Harvey Inc.",Staffing & Recruiting,13,193,A Staffing & Recruiting company focused on envisioneer value-added communities,1
"Woodard, Boyd and Brown Group",Utilities,8,2,A Utilities company focused on morph cross-platform ROI,0
"Gill, Jackson and Jones Inc.",Retail,5,2,A Retail company focused on deploy magnetic methodologies,0
Carter-Walsh Solutions,Oil & Gas,6,2,A Oil & Gas company focused on implement e-business paradigms,0
Simmons LLC Inc.,Insurance,784,17,A Insurance company focused on drive impactful niches,1
Jones-Flowers Solutions,HealthTech,6,1,A HealthTech company focused on aggregate killer systems,0
Kaufman and Sons LLC,Hospitality,210,46,A Hospitality company focused on optimize open-source synergies,0
Holland Inc Group,Wellness and Fitness,8,2,A Wellness and Fitness company focused on envisioneer leading-edge infrastructures,0
"Flores, Jimenez and Roberts Group",Medical Devices,102,35,A Medical Devices company focused on monetize holistic partnerships,1
Taylor PLC LLC,Retail,6,1,A Retail company focused on synthesize 24/7 deliverables,0
Gomez Ltd LLC,Food & Beverage,298,103,A Food & Beverage company focused on aggregate real-time web-readiness,1
Smith-Houston LLC,HR Tech,539,94,A HR Tech company focused on scale proactive technologies,1
Key-Lopez Inc.,Renewable Energy,240,175,A Renewable Energy company focused on expedite value-added systems,1
"Valenzuela, Lee and Barker Solutions",Insurance,5,3,A Insurance company focused on evolve end-to-end e-commerce,0
"West, Thornton and Harris Solutions",Accounting,123,19,A Accounting company focused on drive proactive supply-chains,1
Martinez PLC LLC,Pharmaceuticals,244,57,A Pharmaceuticals company focused on orchestrate B2C e-business,1
Rodriguez-Obrien LLC,Medical Devices,6,1,A Medical Devices company focused on transform bleeding-edge e-commerce,0
King Ltd Solutions,Hospitality,32,83,A Hospitality company focused on re-intermediate enterprise web-readiness,0
Phillips Group Solutions,E-commerce,7,2,A E-commerce company focused on leverage cutting-edge technologies,0
Parks PLC Inc.,Venture Capital,6,1,A Venture Capital company focused on transform visionary e-tailers,0
"Daniel, Ramirez and Allison LLC",Events Services,5,3,A Events Services company focused on drive killer eyeballs,0
Horton-Pearson Group,Cybersecurity,663,149,A Cybersecurity company focused on embrace vertical infrastructures,1
Keller-Hensley Group,Wellness and Fitness,7,3,A Wellness and Fitness company focused on streamline transparent initiatives,0
Webb-Hall LLC,AI,896,124,A AI company focused on grow ubiquitous portals,1
"Campos, Nguyen and Hunt Solutions",Marketing,513,45,A Marketing company focused on matrix distributed partnerships,1
Freeman and Sons Group,Data Analytics,288,176,A Data Analytics company focused on embrace global e-markets,1
Harris-George LLC,Hospitality,5,2,A Hospitality company focused on revolutionize wireless paradigms,0
Walls Group Group,Cloud Computing,676,151,A Cloud Computing company focused on morph strategic e-tailers,1
Giles-Solomon Group,SaaS,274,26,A SaaS company focused on maximize distributed infrastructures,1
Carter and Sons Solutions,Investment Management,6,3,A Investment Management company focused on deliver bleeding-edge synergies,0
Sims PLC Inc.,AI,470,93,A AI company focused on optimize vertical technologies,1
Harding-Hunt Solutions,Public Relations,8,1,A Public Relations company focused on streamline cutting-edge bandwidth,0
"Saunders, Gordon and Parker Group",Consumer Electronics,6,1,A Consumer Electronics company focused on aggregate plug-and-play technologies,0
"Jenkins, Branch and Brown LLC",Fintech,286,5,A Fintech company focused on drive intuitive synergies,1
"Smith, Sparks and Moore Inc.",E-commerce,609,71,A E-commerce company focused on deliver back-end functionalities,1
"Silva, Elliott and Salazar Group",Healthcare,246,123,A Healthcare company focused on monetize mission-critical web-readiness,1
"Escobar, Robinson and Russell Group",Aerospace & Defense,893,94,A Aerospace & Defense company focused on productize global niches,1
Hill and Sons Group,Consumer Electronics,91,21,A Consumer Electronics company focused on exploit plug-and-play niches,0
Brown-Crawford Group,Agriculture,659,106,A Agriculture company focused on engage B2C markets,1
Mata-Porter Solutions,Telecommunications,8,3,A Telecommunications company focused on incentivize rich deliverables,0
Andrade LLC LLC,Fashion & Apparel,22,98,A Fashion & Apparel company focused on synergize 24/365 infrastructures,0
Cameron Ltd Solutions,Cybersecurity,628,35,A Cybersecurity company focused on scale rich markets,1
Brooks-Anderson LLC,Medical Devices,160,27,A Medical Devices company focused on orchestrate rich content,1
"Richardson, Holmes and Williams LLC",HealthTech,159,173,A HealthTech company focused on orchestrate B2C metrics,1
Brown-Williams LLC,Cybersecurity,19,145,A Cybersecurity company focused on implement cross-platform portals,1
Baker Inc LLC,Wellness and Fitness,7,3,A Wellness and Fitness company focused on incubate extensible models,0
Mccarthy LLC Solutions,Events Services,886,52,A Events Services company focused on repurpose one-to-one ROI,0
Grant-Aguilar Solutions,IoT,822,25,A IoT company focused on maximize one-to-one metrics,1
Huerta-Wade Inc.,Staffing & Recruiting,263,50,A Staffing & Recruiting company focused on facilitate synergistic markets,1
Carroll Group Group,Media & Entertainment,603,27,A Media & Entertainment company focused on whiteboard interactive action-items,0
Harris-Barrett Inc.,Aerospace & Defense,297,184,A Aerospace & Defense company focused on facilitate user-centric metrics,1
Blanchard PLC Group,Publishing,755,159,A Publishing company focused on seize value-added experiences,0
Perez-Stafford Group,Software,621,109,A Software company focused on optimize viral deliverables,1
Daniels-Stewart Solutions,Medical Devices,821,96,A Medical Devices company focused on repurpose viral supply-chains,1
Rodriguez-Carter LLC,E-commerce,647,90,A E-commerce company focused on implement global platforms,1
Gray-Powers LLC,Software,32,11,A Software company focused on extend visionary users,1
Stewart PLC Group,Legal Services,772,150,A Legal Services company focused on strategize user-centric models,1
"Gonzalez, Miles and Howard Inc.",Biotechnology,6,1,A Biotechnology company focused on generate turn-key communities,0
Mccormick Ltd Group,Venture Capital,847,186,A Venture Capital company focused on productize enterprise supply-chains,1
Hudson-Williams Group,Software,6,1,A Software company focused on evolve clicks-and-mortar deliverables,0
Herrera-Daniel Group,AI,475,23,A AI company focused on syndicate impactful schemas,1
Williams-Macdonald Inc.,Fintech,233,51,A Fintech company focused on exploit magnetic e-tailers,1
"Burton, Powers and Hunter LLC",Cybersecurity,173,9,A Cybersecurity company focused on transition end-to-end e-commerce,1
"Cervantes, Jordan and White Solutions",Wellness and Fitness,5,2,A Wellness and Fitness company focused on aggregate scalable applications,0
Roman-Martinez Inc.,Gaming,486,123,A Gaming company focused on expedite virtual eyeballs,1
Stevenson-Graham LLC,Cybersecurity,66,71,A Cybersecurity company focused on harness e-business ROI,1
Flores-Anderson Inc.,Hospitality,172,112,A Hospitality company focused on syndicate holistic ROI,0
"Lewis, White and Liu Solutions",Biotechnology,732,75,A Biotechnology company focused on embrace back-end paradigms,1
"Anderson, Bryant and Christensen Group",Cloud Computing,5,3,A Cloud Computing company focused on transform B2C e-commerce,0
Martinez PLC Inc.,SaaS,655,47,A SaaS company focused on aggregate ubiquitous e-tailers,1
"Smith, Griffin and Macias Group",Telecommunications,116,194,A Telecommunications company focused on evolve innovative platforms,0
"Davis, Clark and Davis Solutions",Medical Devices,695,188,A Medical Devices company focused on innovate B2B networks,1
"Wang, Sanchez and Jimenez Group",Mining,7,1,A Mining company focused on e-enable collaborative content,0
"Grant, Peterson and Williams Solutions",Publishing,951,19,A Publishing company focused on generate best-of-breed functionalities,0
Green-Diaz LLC,Oil & Gas,432,98,A Oil & Gas company focused on re-contextualize dot-com schemas,1
Sullivan PLC Group,SaaS,573,25,A SaaS company focused on empower integrated architectures,1
"Wilson, Smith and Gardner LLC",HealthTech,157,69,A HealthTech company focused on engineer open-source info-mediaries,1
Oliver-Jordan Inc.,Logistics & Supply Chain,139,115,A Logistics & Supply Chain company focused on cultivate back-end interfaces,1
"Lozano, Gibson and Barnes Group",E-commerce,527,156,A E-commerce company focused on reinvent user-centric initiatives,1
Pitts Inc Group,PropTech,845,8,A PropTech company focused on harness 24/365 functionalities,1
Glover Inc LLC,Healthcare,655,152,A Healthcare company focused on transform cutting-edge solutions,1
Roy and Sons Solutions,Automotive,630,153,A Automotive company focused on evolve efficient channels,1
Ross LLC Inc.,Pharmaceuticals,294,175,A Pharmaceuticals company focused on extend visionary interfaces,1
Walker-Casey LLC,Renewable Energy,69,7,A Renewable Energy company focused on embrace scalable relationships,1
Montes-Roberts Solutions,PropTech,834,159,A PropTech company focused on redefine sticky communities,1
Herrera-Wade Inc.,Pharmaceuticals,270,129,A Pharmaceuticals company focused on matrix strategic applications,1
"Miller, Turner and Byrd Group",SaaS,634,186,A SaaS company focused on morph open-source bandwidth,1
Medina-Roberts Inc.,HR Tech,525,129,A HR Tech company focused on leverage enterprise e-commerce,1
Roach and Sons Inc.,Pharmaceuticals,935,180,A Pharmaceuticals company focused on iterate mission-critical e-commerce,1
"Cruz, Best and Le Group",Telecommunications,8,1,A Telecommunications company focused on benchmark frictionless methodologies,0
"Mccormick, Fernandez and Williams LLC",Fintech,62,11,A Fintech company focused on evolve intuitive applications,1
"Michael, Ortega and Nielsen Group",Oil & Gas,835,110,A Oil & Gas company focused on extend rich metrics,1
Gallagher-Adams Inc.,EdTech,8,3,A EdTech company focused on optimize user-centric niches,0
"Miller, Nichols and Davis Solutions",Media & Entertainment,7,3,A Media & Entertainment company focused on harness cross-media infrastructures,0
Ross-Morgan Group,Cybersecurity,102,92,A Cybersecurity company focused on deploy granular e-services,1
Baker-Brown Solutions,Healthcare,532,70,A Healthcare company focused on empower web-enabled bandwidth,1
Dyer LLC LLC,Events Services,7,1,A Events Services company focused on seize synergistic experiences,0
"Russell, Robertson and Payne Group",Food & Beverage,809,104,A Food & Beverage company focused on seize proactive e-markets,1
"Moore, Edwards and Payne LLC",Agriculture,987,81,A Agriculture company focused on envisioneer magnetic e-commerce,1
Jones and Sons Inc.,Investment Management,8,3,A Investment Management company focused on synergize ubiquitous deliverables,0
Bowen-Pierce Inc.,Fashion & Apparel,540,54,A Fashion & Apparel company focused on facilitate cutting-edge portals,0
Franklin-Butler Group,AI,6,1,A AI company focused on utilize interactive content,0
Williams-Freeman LLC,Mining,6,3,A Mining company focused on reinvent wireless portals,0
Fuentes and Sons Inc.,Events Services,8,3,A Events Services company focused on aggregate open-source web-readiness,0
Garcia-Pena Group,Construction,710,181,A Construction company focused on envisioneer proactive info-mediaries,1
Quinn-Carey LLC,IoT,5,2,A IoT company focused on enhance strategic eyeballs,0
Chavez Inc Group,Publishing,5,2,A Publishing company focused on innovate proactive niches,0
Robinson Inc Solutions,Fintech,48,127,A Fintech company focused on innovate collaborative infrastructures,1
Reid and Sons LLC,Fashion & Apparel,264,17,A Fashion & Apparel company focused on synergize cutting-edge experiences,0
Decker Group Group,Healthcare,281,155,A Healthcare company focused on benchmark granular partnerships,1
Avery Group Group,Retail,698,45,A Retail company focused on iterate vertical interfaces,1
Montgomery-Hicks LLC,IoT,365,82,A IoT company focused on re-intermediate ubiquitous content,1
Soto-Barrera Group,Banking,451,146,A Banking company focused on syndicate granular portals,1
Woods Ltd Group,Consumer Electronics,732,169,A Consumer Electronics company focused on target mission-critical experiences,0
Delgado-Butler Solutions,Cybersecurity,477,11,A Cybersecurity company focused on implement killer relationships,1
Parker PLC Inc.,Telecommunications,192,54,A Telecommunications company focused on synergize virtual solutions,0
Barry Inc Inc.,Biotechnology,567,21,A Biotechnology company focused on integrate interactive content,1
Campbell Group Solutions,Hospitality,92,104,A Hospitality company focused on empower holistic metrics,0
"Rosario, Lin and Price LLC",Software,8,2,A Software company focused on expedite interactive solutions,0
Smith PLC Inc.,Venture Capital,5,1,A Venture Capital company focused on enhance seamless experiences,0
Brown Inc Inc.,Fashion & Apparel,782,52,A Fashion & Apparel company focused on iterate viral channels,0
Gonzales Ltd LLC,Cloud Computing,8,1,A Cloud Computing company focused on optimize bricks-and-clicks info-mediaries,0
Hunter LLC Inc.,Banking,501,72,A Banking company focused on transform dot-com e-services,1
Browning Group LLC,Utilities,210,188,A Utilities company focused on enhance turn-key e-tailers,1
Obrien-Butler Inc.,Software,341,113,A Software company focused on transition cutting-edge metrics,1
Wells-Murphy Group,AI,819,145,A AI company focused on empower web-enabled paradigms,1
"Stephens, Carter and Adams Solutions",Fintech,7,1,A Fintech company focused on extend intuitive networks,0
Williams-Vaughn Inc.,Venture Capital,665,67,A Venture Capital company focused on engineer proactive paradigms,1
Little LLC LLC,Telecommunications,99,108,A Telecommunications company focused on revolutionize back-end technologies,0
Thompson and Sons LLC,Logistics & Supply Chain,291,170,A Logistics & Supply Chain company focused on matrix visionary networks,1
"Long, Thompson and Hayden LLC",Staffing & Recruiting,963,121,A Staffing & Recruiting company focused on engineer compelling technologies,1
Velasquez-Brown LLC,Construction,437,75,A Construction company focused on productize vertical niches,1
"Osborne, Edwards and Murray Inc.",Logistics & Supply Chain,5,1,A Logistics & Supply Chain company focused on visualize virtual models,0
Mason-Cisneros Inc.,Healthcare,5,3,A Healthcare company focused on enable extensible solutions,0
"Williams, Schmidt and Hinton Inc.",HealthTech,5,2,A HealthTech company focused on deliver impactful systems,0
Torres and Sons Solutions,Travel & Tourism,6,3,A Travel & Tourism company focused on transform scalable infrastructures,0
Smith LLC Group,Food & Beverage,22,167,A Food & Beverage company focused on productize transparent portals,1
Jones-Smith Group,Software,339,187,A Software company focused on deliver transparent architectures,1
"Kelly, Carr and Scott Solutions",Aerospace & Defense,366,21,A Aerospace & Defense company focused on leverage open-source markets,1
Thompson-Stevens Solutions,Legal Services,489,49,A Legal Services company focused on innovate world-class channels,1
Mccoy-Morris LLC,Renewable Energy,5,3,A Renewable Energy company focused on architect distributed niches,0
"Arnold, Andrews and Richardson Inc.",Gaming,911,18,A Gaming company focused on exploit out-of-the-box initiatives,1
"Bates, Warner and Fisher Solutions",Banking,242,54,A Banking company focused on incentivize e-business portals,1
Gray Ltd Group,Banking,381,173,A Banking company focused on deliver cross-platform deliverables,1
"Arroyo, Kerr and Bautista LLC",Renewable Energy,383,60,A Renewable Energy company focused on facilitate real-time channels,1
English-Johnson Group,Utilities,774,165,A Utilities company focused on extend revolutionary content,1
"Simpson, Barnett and Glover Group",Cybersecurity,5,3,A Cybersecurity company focused on generate impactful interfaces,0
Mayo and Sons Inc.,Healthcare,713,168,A Healthcare company focused on envisioneer intuitive markets,1
Wiley Group LLC,Consulting,322,116,A Consulting company focused on re-contextualize strategic synergies,1
"Martin, Johnston and Rice Inc.",Travel & Tourism,8,1,A Travel & Tourism company focused on revolutionize front-end convergence,0
"Robbins, Williams and Mejia Group",HR Tech,6,3,A HR Tech company focused on implement front-end ROI,0
Jacobs-Welch Solutions,HR Tech,7,3,A HR Tech company focused on leverage scalable portals,0
Torres-Marquez Inc.,Media & Entertainment,131,106,A Media & Entertainment company focused on generate efficient paradigms,0
"Sanchez, Montgomery and Adams Inc.",Insurance,7,3,A Insurance company focused on incubate extensible communities,0
Lopez-Thompson Inc.,HR Tech,6,1,A HR Tech company focused on disintermediate holistic applications,0
Evans-Sanders Solutions,Agriculture,7,2,A Agriculture company focused on productize collaborative communities,0
Foley Group Group,Aerospace & Defense,847,190,A Aerospace & Defense company focused on e-enable one-to-one infrastructures,1
Miller-Hensley Solutions,Aerospace & Defense,620,126,A Aerospace & Defense company focused on matrix virtual e-commerce,1
"Carter, Moyer and Hancock Inc.",Retail,784,48,A Retail company focused on aggregate turn-key paradigms,1
Romero and Sons LLC,Travel & Tourism,974,40,A Travel & Tourism company focused on extend virtual partnerships,0
Allen Ltd Inc.,Logistics & Supply Chain,891,24,A Logistics & Supply Chain company focused on exploit distributed functionalities,1
Gordon Ltd LLC,Public Relations,7,1,A Public Relations company focused on synergize back-end initiatives,0
Phillips Ltd Inc.,Logistics & Supply Chain,705,187,A Logistics & Supply Chain company focused on exploit rich platforms,1
"Sheppard, Harrington and Dyer Solutions",Renewable Energy,793,41,A Renewable Energy company focused on e-enable real-time bandwidth,1
Phelps-Simpson Inc.,Accounting,7,3,A Accounting company focused on optimize integrated experiences,0
"Norton, Perkins and Conley LLC",Consulting,8,3,A Consulting company focused on unleash B2C functionalities,0
Arnold-Newton LLC,Renewable Energy,7,2,A Renewable Energy company focused on orchestrate ubiquitous paradigms,0
Hill-Anderson Solutions,SaaS,247,184,A SaaS company focused on implement scalable vortals,1
Marks-Nash LLC,Construction,176,157,A Construction company focused on engineer 24/365 eyeballs,1
Obrien-Smith Solutions,Healthcare,6,1,A Healthcare company focused on repurpose granular metrics,0
Pruitt LLC Solutions,Data Analytics,7,2,A Data Analytics company focused on disintermediate intuitive partnerships,0
"Cameron, Cannon and Carlson Group",Events Services,7,1,A Events Services company focused on harness efficient infrastructures,0
Brooks-Perez Inc.,Oil & Gas,840,32,A Oil & Gas company focused on cultivate interactive networks,1
"Phelps, Collier and Simon Group",HR Tech,7,2,A HR Tech company focused on utilize cutting-edge relationships,0
Crawford LLC LLC,Manufacturing,232,144,A Manufacturing company focused on facilitate cutting-edge web services,1
"Williamson, Hawkins and Johnson Solutions",Accounting,320,81,A Accounting company focused on e-enable frictionless partnerships,1
Hahn Ltd Group,Automotive,5,3,A Automotive company focused on scale vertical applications,0
Vincent-Raymond Group,Wellness and Fitness,6,2,A Wellness and Fitness company focused on facilitate next-generation eyeballs,0
"Bush, Jones and Lee Inc.",Media & Entertainment,8,3,A Media & Entertainment company focused on synthesize value-added eyeballs,0
Fisher Inc Inc.,Media & Entertainment,742,18,A Media & Entertainment company focused on matrix killer e-tailers,0
Freeman Ltd Solutions,Utilities,115,197,A Utilities company focused on extend compelling technologies,1
Banks Ltd Solutions,IoT,6,1,A IoT company focused on engineer cross-media systems,0
Lee Group LLC,Agriculture,255,56,A Agriculture company focused on re-contextualize cross-media initiatives,1
Clark PLC LLC,Software,923,25,A Software company focused on syndicate bleeding-edge web-readiness,1
"Perez, Morales and Tran Group",Cloud Computing,929,153,A Cloud Computing company focused on maximize open-source portals,1
Parker-Pierce Group,Logistics & Supply Chain,7,1,A Logistics & Supply Chain company focused on enable 24/365 users,0
"Foster, Benton and Morrison LLC",Gaming,8,3,A Gaming company focused on implement innovative info-mediaries,0
Krause-Rios Inc.,Insurance,479,112,A Insurance company focused on unleash B2B partnerships,1
Perez and Sons Solutions,Food & Beverage,782,167,A Food & Beverage company focused on matrix holistic functionalities,1
Hernandez-Gray Solutions,Staffing & Recruiting,5,2,A Staffing & Recruiting company focused on engage ubiquitous web services,0
"Wilkins, Jones and Rodriguez Solutions",Venture Capital,6,2,A Venture Capital company focused on reinvent strategic ROI,0
"Aguilar, Hernandez and Chavez Group",Events Services,233,101,A Events Services company focused on aggregate integrated e-commerce,0
Johnson Ltd Solutions,Events Services,6,2,A Events Services company focused on unleash enterprise e-services,0
"Abbott, Roberts and Doyle Group",Banking,371,36,A Banking company focused on incubate open-source initiatives,1
Little LLC Group,Insurance,355,196,A Insurance company focused on benchmark ubiquitous markets,1
Murphy Ltd Group,Pharmaceuticals,5,2,A Pharmaceuticals company focused on integrate front-end partnerships,0
Flynn PLC Group,Wellness and Fitness,389,38,A Wellness and Fitness company focused on maximize value-added web-readiness,1
Martin-Rogers Group,Biotechnology,7,1,A Biotechnology company focused on enable viral interfaces,0
"Reyes, Andrews and Harrison LLC",Pharmaceuticals,5,2,A Pharmaceuticals company focused on visualize granular e-business,0
Davies-Ortiz Group,E-commerce,889,47,A E-commerce company focused on extend viral e-markets,1
"Stewart, Padilla and Rodriguez Group",HR Tech,770,27,A HR Tech company focused on aggregate web-enabled partnerships,1
Shah-Bryant Inc.,HR Tech,578,181,A HR Tech company focused on empower synergistic portals,1
Tate and Sons Group,Manufacturing,478,146,A Manufacturing company focused on deliver out-of-the-box vortals,1
"Hayden, Gonzalez and Roth Solutions",Telecommunications,8,2,A Telecommunications company focused on whiteboard vertical initiatives,0
Andrade-Craig Inc.,E-commerce,103,12,A E-commerce company focused on strategize 24/365 models,1
"Frank, Phillips and Wright LLC",Manufacturing,649,114,A Manufacturing company focused on iterate global e-markets,1
"Andrews, Norris and Brown Inc.",Events Services,484,24,A Events Services company focused on transition vertical e-business,0
Rogers Group Group,Biotechnology,697,55,A Biotechnology company focused on grow bleeding-edge info-mediaries,1
"Miller, Carter and Harris Solutions",Legal Services,6,2,A Legal Services company focused on engage killer architectures,0
"Camacho, Fuller and Murray Inc.",Retail,6,3,A Retail company focused on drive 24/7 niches,0
"Ward, Smith and Gomez Inc.",Telecommunications,6,3,A Telecommunications company focused on whiteboard viral convergence,0
Ruiz LLC Group,Biotechnology,310,99,A Biotechnology company focused on scale distributed partnerships,1
Wilson Group Group,E-commerce,602,82,A E-commerce company focused on synergize killer relationships,1
Lutz-Martinez Inc.,Renewable Energy,889,24,A Renewable Energy company focused on drive efficient interfaces,1
Harris Group Inc.,Automotive,81,82,A Automotive company focused on enable 24/7 architectures,1
"Adams, Williams and Hill Inc.",Consulting,6,2,A Consulting company focused on disintermediate 24/7 bandwidth,0
Cross Ltd LLC,Consumer Electronics,673,12,A Consumer Electronics company focused on re-contextualize vertical eyeballs,0
"Wade, Black and Rush Group",Construction,249,44,A Construction company focused on monetize intuitive paradigms,1
"Kelley, Thomas and Hall LLC",Banking,8,1,A Banking company focused on repurpose integrated bandwidth,0
Cruz Inc Solutions,Mining,455,29,A Mining company focused on envisioneer integrated niches,1
Powell-Lewis Solutions,Fintech,286,117,A Fintech company focused on scale frictionless vortals,1
Le-Young Group,Oil & Gas,720,71,A Oil & Gas company focused on scale bricks-and-clicks web services,1
Vargas-Chavez Inc.,Cybersecurity,851,51,A Cybersecurity company focused on generate front-end systems,1
Davis LLC LLC,Events Services,586,184,A Events Services company focused on syndicate innovative content,0
Smith Inc Inc.,Retail,928,56,A Retail company focused on drive extensible niches,1
"Daniels, French and Peters LLC",Logistics & Supply Chain,407,5,A Logistics & Supply Chain company focused on re-intermediate killer partnerships,1
Mcfarland-Avery Group,Cosmetics,700,119,A Cosmetics company focused on facilitate e-business e-markets,0
Miller and Sons Inc.,E-commerce,308,114,A E-commerce company focused on disintermediate enterprise applications,1
"Stevens, Shea and Ramirez LLC",Cosmetics,477,36,A Cosmetics company focused on re-intermediate next-generation users,0
"Hardy, Green and Scott Solutions",Consulting,6,1,A Consulting company focused on re-intermediate 24/365 supply-chains,0
"Nelson, Stokes and Melton Solutions",Consumer Electronics,6,2,A Consumer Electronics company focused on architect cross-platform vortals,0
Johnson-Mckenzie Solutions,Telecommunications,559,44,A Telecommunications company focused on synthesize plug-and-play bandwidth,0
"Kim, Garcia and Smith Group",EdTech,839,175,A EdTech company focused on incentivize open-source methodologies,1
Adams-Schneider Solutions,Staffing & Recruiting,6,3,A Staffing & Recruiting company focused on orchestrate viral methodologies,0
Williams Inc Solutions,Construction,382,7,A Construction company focused on monetize vertical communities,1
Davis-Harrison Inc.,Cosmetics,106,91,A Cosmetics company focused on utilize open-source systems,0
Arroyo Group Inc.,Wellness and Fitness,626,145,A Wellness and Fitness company focused on iterate sticky partnerships,1
Hurley-Hawkins Inc.,Events Services,8,2,A Events Services company focused on architect killer channels,0
Stewart-Lindsey Group,Utilities,722,198,A Utilities company focused on revolutionize compelling initiatives,1
Moyer-Bradley Solutions,Consumer Electronics,5,2,A Consumer Electronics company focused on implement viral initiatives,0
Morrison-Mendez LLC,Wellness and Fitness,797,100,A Wellness and Fitness company focused on re-intermediate next-generation interfaces,1
"Rodgers, Williams and Huffman Inc.",Biotechnology,7,3,A Biotechnology company focused on cultivate out-of-the-box e-commerce,0
Crawford Inc Group,Cosmetics,8,1,A Cosmetics company focused on whiteboard dot-com infrastructures,0
"Brown, Austin and Nguyen LLC",Banking,935,38,A Banking company focused on drive front-end infrastructures,1
"Carey, Kelly and Farrell Group",Legal Services,7,3,A Legal Services company focused on strategize plug-and-play web services,0
Hayes and Sons LLC,Cybersecurity,493,171,A Cybersecurity company focused on visualize out-of-the-box e-services,1
"Smith, Hicks and Black Group",Cosmetics,742,161,A Cosmetics company focused on evolve dot-com web-readiness,0
Campbell-Allen LLC,Utilities,126,109,A Utilities company focused on re-contextualize transparent architectures,1
"Long, Howell and Mata LLC",Cloud Computing,847,23,A Cloud Computing company focused on aggregate cutting-edge models,1
"Holmes, Weaver and Leblanc Inc.",Automotive,162,105,A Automotive company focused on re-contextualize plug-and-play supply-chains,1
Wood-Wright Inc.,Retail,710,20,A Retail company focused on matrix revolutionary experiences,1
"Tucker, Brown and Moore Group",HR Tech,303,197,A HR Tech company focused on iterate user-centric web services,1
"Vargas, Sanchez and Campbell Solutions",Staffing & Recruiting,405,136,A Staffing & Recruiting company focused on scale dot-com metrics,1
Hopkins PLC LLC,Utilities,5,2,A Utilities company focused on re-contextualize killer synergies,0
"Bernard, David and Stewart LLC",Fintech,812,185,A Fintech company focused on transition cross-platform partnerships,1
Brown-Clay Group,Automotive,549,94,A Automotive company focused on iterate 24/365 eyeballs,1
Martinez-Lewis Solutions,Cloud Computing,736,73,A Cloud Computing company focused on embrace integrated content,1
"Price, Leblanc and Burns Solutions",Travel & Tourism,672,169,A Travel & Tourism company focused on engineer web-enabled e-commerce,0
Weaver and Sons LLC,Data Analytics,8,3,A Data Analytics company focused on extend frictionless content,0
Scott Inc LLC,Mining,7,2,A Mining company focused on embrace dynamic bandwidth,0
Jackson-Ramos Inc.,Data Analytics,873,119,A Data Analytics company focused on unleash magnetic schemas,1
Evans Group Inc.,PropTech,755,98,A PropTech company focused on expedite one-to-one info-mediaries,1
"Young, Jackson and Gutierrez Inc.",Venture Capital,925,38,A Venture Capital company focused on whiteboard web-enabled communities,1
Dixon-Lopez Group,Oil & Gas,591,72,A Oil & Gas company focused on orchestrate next-generation metrics,1
Patterson LLC Solutions,Food & Beverage,790,185,A Food & Beverage company focused on transform B2B niches,1
Tucker-Adams Solutions,Cybersecurity,193,134,A Cybersecurity company focused on innovate clicks-and-mortar content,1
"Daniel, Harris and Roberts Solutions",Legal Services,81,102,A Legal Services company focused on re-intermediate dynamic metrics,1
"Richmond, Zhang and Hansen LLC",Fintech,904,145,A Fintech company focused on engage cross-platform users,1
"Kim, Crawford and Larson Inc.",Utilities,640,186,A Utilities company focused on monetize collaborative supply-chains,1
Lopez-Howard Inc.,Publishing,957,43,A Publishing company focused on enable innovative action-items,0
"Reed, Romero and Murphy Inc.",Telecommunications,417,179,A Telecommunications company focused on deliver revolutionary mindshare,0
Reid-Powell Group,Manufacturing,7,2,A Manufacturing company focused on strategize transparent niches,0
Leblanc PLC Group,Fintech,5,1,A Fintech company focused on visualize collaborative info-mediaries,0
"Miller, Kelly and Smith Inc.",Utilities,702,39,A Utilities company focused on disintermediate extensible users,1
Young Group LLC,Cybersecurity,582,24,A Cybersecurity company focused on monetize synergistic experiences,1
Burke Group Group,Staffing & Recruiting,826,198,A Staffing & Recruiting company focused on re-contextualize impactful infrastructures,1
Morse-Stevens Inc.,SaaS,6,1,A SaaS company focused on integrate 24/365 initiatives,0
"Shaffer, Lucas and Hill Group",Gaming,15,63,A Gaming company focused on leverage seamless synergies,1
Miller PLC Solutions,EdTech,302,46,A EdTech company focused on re-intermediate interactive convergence,1
Morton-Montgomery LLC,Oil & Gas,6,1,A Oil & Gas company focused on generate viral deliverables,0
